Celeb_Real,Celeb_Fake
0.01,0.012793177
0.01,0.01650165
0,0
0.01,0.002057613
0,0
0,0
0,0
0,0
0,0
0,0
0.13,0
0,0
0.02,0
0,0
0.18,0
0.12,0
0.09,0
0.02,0
0.04,0
0.04,0
0.01,0
0,0
0.08,0
0.03,0
0.05,0
0,0
0.03,0.006396588
0,0
0.04,0
0,0
0.12,0
0,0
0.01,0
0.04,0
0,0
0,0.006396588
0.02,0
0.02,0
0,0
0,0
0.03,0
0,0
0,0
0,0
0.08,0.006396588
0,0.003333333
0,0
0.01,0
0,0
0,0
0,0
0,0.002132196
0.06,0.009933775
0,0
0.04,0
0.04,0
0.06,0
0,0
0.04,0
0,0
0,0
0,0.017057569
0,0.006644518
0,0
0,0.014084507
0.04,0
0,0
0,0
0.04,0
0,0
0,0
0,0.008528785
0.05,0.009966777
0,0
0,0.002004008
0,0
0,0.009411765
0.04,0
0,0
0,0
0,0
0,0
0,0.013245033
0,0
0,0.00804829
0,0
0,0
0,0
0,0
0.03,0
0,0
0,0.002132196
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.010660981
0.07,0.00990099
0,0
0,0
0,0
0,0
0,0.004264392
0,0.00330033
0.08,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.040498442
0,0
0,0.149712092
0.01,0.092307692
0,0.090225564
0,0.027237354
0,0.036649215
0,0
0,0.00931677
0,0
0.09,0.130518234
0,0.044510386
0,0.051851852
0,0.017509728
0.04,0
0.02,0
0,0.046439628
0.02,0
0,0.101727447
0.02,0.051359517
0.04,0.082089552
0,0.025291829
0.01,0.002631579
0.08,0
0,0.031055901
0,0
0,0.172744722
0.05,0.080838323
0,0.091603053
0,0.031128405
0.16,0.005263158
0.05,0.03046595
0,0.028735632
0,0.008988764
0,0.069832402
0.01,0.031545741
0,0.029850746
0,0.00304878
0.07,0.028481013
0,0
0.02,0.04787234
0,0.01511335
0,0.124137931
0,0.007518797
0,0.019553073
0.04,0
0.05,0.02866242
0,0.038709677
0,0.002659574
0,0.020050125
0.01,0.013850416
0.01,0.006060606
0,0.015923567
0,0.025806452
0,0
0,0
0,0
0.01,0
0,0.006472492
0,0
0.01,0.004357298
0,0.002164502
0,0
0,0.074358974
0.01,0.006085193
0.02,0
0,0
0.02,0.0175
0.14,0
0.01,0
0.01,0
0,0
0,0.013043478
0,0.009195402
0.01,0
0,0
0,0
0,0.02173913
0.02,0.050314465
0,0.064748201
0.01,0.00330033
0.02,0.03601108
0.05,0
0,0.013392857
0,0
0.02,0
0,0
0,0.097826087
0,0
0,0
0.02,0.024767802
0.02,0.006269592
0.1,0.016990291
0,0
0.02,0.026315789
0,0.002688172
0,0
0.01,0
0,0
0,0
0,0.036231884
0,0
0,0
0,0.021341463
0,0.01863354
0.03,0.04368932
0,0
0,0.034188034
0,0
0,0
0,0
0,0
0,0
0,0.072463768
0.04,0
0,0
0,0.009230769
0,0.019292605
0,0.055696203
0,0
0,0.026392962
0,0
0.01,0
0.02,0
0.09,0
0.07,0
0,0.061594203
0.02,0
0.02,0
0.05,0.012383901
0.01,0.0125
0,0.032258065
0,0
0,0.014084507
0,0
0,0
0,0
0,0
0,0
0,0.036231884
0.02,0
0,0
0,0.052959502
0,0.034591195
0.01,0.103274559
0,0
0,0.036144578
0.01,0
0,0
0,0
0.01,0
0,0.079710145
0,0
0,0
0.07,0.065625
0,0
0.01,0.017857143
0.01,0
0.01,0.028328612
0,0
0.02,0
0.01,0
0,0
0,0
0,0.08
0.03,0
0.03,0
0.01,0.047021944
0,0.043613707
0,0.0675
0.01,0.00330033
0,0.020710059
0,0
0,0.004464286
0,0
0,0
0,0
0,0.047101449
0,0
0,0
0,0.076923077
0,0.025316456
0,0.118932039
0,0
0.07,0.023460411
0.03,0
0,0.013392857
0,0
0,0
0.19,0.00955414
0.06,0.134057971
0.02,0
0.2,0
0,0.037151703
0,0.031545741
0.07,0.058080808
0.01,0.00330033
0,0
0,0
0,0
0,0
0.07,0
0,0.126811594
0,0
0,0
0.03,0.009090909
0.02,0.012779553
0,0.012722646
0.19,0
0.05,0
0.19,0
0,0
0.08,0
0,0
0.01,0.028985507
0.02,0
0.06,0
0.01,0.033950617
0,0.028301887
0,0.047029703
0.05,0
0,0
0.03,0
0.07,0
0,0
0.02,0
0,0
0.01,0.050909091
0,0
0.1,0
0,0.030864198
0,0.022151899
0,0.08
0,0
0.08,0.01744186
0.24,0
0,0
0,0
0,0.047101449
0.06,0
0.01,0
0,0.01875
0.01,0.034700315
0.01,0.055825243
0.03,0
0,0.022727273
0,0
0.01,0
0.06,0
0.01,0
0,0.012820513
0,0.054347826
0.17,0
0.05,0
0.13,0.006153846
0,0.041009464
0.03,0.073170732
0.01,0
0,0.023376623
0.08,0
0.01,0.017857143
0.04,0
0.01,0
0.01,0
0.02,0.029090909
0,0
0,0
0.01,0.01242236
0.09,0
0,0.02195122
0,0
0,0.014245014
0.03,0
0.01,0
0.17,0
0,0
0.01,0
0.02,0.032608696
0.02,0
0.02,0
0,0.048231511
0.01,0
0,0.009009009
0.06,0
0.02,0.166666667
0.38,0
0,0
0.08,0.00729927
0.05,0.03257329
0.1,0.038709677
0.11,0
0.02,0
0.05,0
0.02,0.055555556
0,0
0,0
0,0.00729927
0,0.016286645
0,0.032051282
0,0
0.01,0.003115265
0,0
0,0.055555556
0,0
0,0
0.15,0
0.01,0
0,0.019480519
0.04,0
0.18,0
0.02,0
0,0.032679739
0.01,0
0.02,0
0.06,0
0.02,0.013114754
0,0.051948052
0.03,0
0.1,0
0.03,0
0,0.016339869
0.03,0
0,0
0.03,0
0,0.064935065
0.01,0
0.01,0
0.07,0
0,0.10130719
0.01,0
0,0
0.01,0.003636364
0,0.03525641
0,0.035714286
0.01,0
0,0
0.02,0
0.01,0.055555556
0.16,0
0,0
0.01,0.003636364
0.04,0
0,0.084415584
0,0
0,0
0.01,0
0.04,0.114379085
0.02,0
0.05,0
0.02,0
0.06,0.029508197
0.22,0.366559486
0,0
0.02,0.003030303
0.02,0
0.01,0.150326797
0,0
0.05,0
0.02,0.02189781
0.01,0.026058632
0.03,0.045454545
0.08,0
0.01,0
0.01,0
0.01,0.022875817
0.01,0
0.04,0
0.08,0
0.02,0
0.03,0.051948052
0.03,0
0,0
0.05,0
0.05,0.009803922
0.01,0
0.2,0
0.02,0
0.1,0
0.05,0.074675325
0.01,0
0,0
0.02,0
0.07,0.04248366
0.07,0
0,0
0,0
0,0.009836066
0,0.198051948
0.05,0
0.02,0.006097561
0.01,0
0,0.078431373
0,0
0,0
0,0
0,0.006557377
0,0.131832797
0,0
0,0
0,0
0,0.058823529
0.01,0
0,0
0,0
0.03,0.026058632
0.02,0.038585209
0.02,0
0.04,0.012012012
0.03,0
0.05,0.045751634
0.01,0
0.01,0.019704433
0.01,0
0.01,0.016286645
0,0.009677419
0.02,0
0.02,0
0.22,0
0,0.026143791
0,0
0,0
0.03,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.02,0
0,0
0,0
0.01,0
0.03,0
0.04,0
0,0
0,0
0,0
0.11,0
0,0
0.05,0
0.11,0
0,0
0.01,0
0.05,0
0.03,0
0.05,0
0.09,0
0.05,0
0.01,0
0.02,0
0,0
0.01,0.006097561
0.21,0
0,0
0.1,0
0,0
0,0.00619195
0.15,0.006097561
0.02,0
0.04,0
0,0
0,0
0,0
0.02,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.005524862
,0.025735294
,0.005
,0
,0
,0.028436019
,0.001976285
,0
,0.002439024
,0
,0.036764706
,0
,0
,0
,0.009478673
,0
,0
,0
,0
,0.029411765
,0
,0
,0
,0
,0
,0
,0
,0
,0.022058824
,0
,0
,0
,0
,0
,0
,0
,0
,0.014705882
,0
,0
,0
,0
,0.001992032
,0
,0
,0.051470588
,0
,0
,0
,0.011848341
,0.001992032
,0
,0
,0
,0.025735294
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.0625
,0
,0.0155902
,0
,0.011848341
,0.003968254
,0
,0
,0.011111111
,0.051470588
,0.0025
,0
,0
,0.016587678
,0.005681818
,0
,0
,0
,0.018382353
,0
,0.002227171
,0
,0
,0
,0
,0
,0
,0.003676471
,0
,0.004424779
,0
,0
,0.002016129
,0
,0
,0
,0.022058824
,0
,0
,0
,0
,0
,0
,0
,0
,0.058823529
,0
,0
,0
,0.026066351
,0.007920792
,0
,0
,0
,0.018382353
,0
,0
,0
,0
,0.001992032
,0
,0
,0
,0.014705882
,0
,0
,0
,0
,0.009940358
,0
,0
,0
,0.091911765
,0
,0.002212389
,0
,0.011848341
,0.005905512
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.08681672
,0.005882353
,0
,0
,0
,0.092814371
,0
,0
,0.074193548
,0.002932551
,0
,0
,0.005865103
,0
,0.101796407
,0
,0
,0.054313099
,0
,0
,0
,0
,0.116071429
,0
,0.025157233
,0
,0.003021148
,0
,0.023880597
,0
,0
,0.038709677
,0
,0
,0
,0.003012048
,0
,0
,0.014925373
,0
,0
,0.019169329
,0
,0
,0
,0
,0.172106825
,0
,0.041401274
,0
,0
,0
,0
,0.029761905
,0
,0.134185304
,0
,0
,0
,0
,0.002816901
,0.195845697
,0
,0
,0.087378641
,0
,0
,0
,0
,0.065281899
,0
,0
,0.051282051
,0
,0
,0
,0
,0.105095541
,0
,0.011940299
,0.002941176
,0
,0.028846154
,0
,0
,0.023668639
,0
,0
,0.038709677
,0.002994012
,0
,0
,0
,0.263473054
,0
,0.144230769
,0
,0
,0.009118541
,0
,0.18373494
,0.014577259
,0
,0.096153846
,0.005882353
,0
,0.003003003
,0.002941176
,0
,0.246246246
,0
,0
,0.051446945
,0
,0
,0
,0
,0.056547619
,0
,0
,0.057507987
,0.005934718
,0
,0
,0
,0
,0.023809524
,0.005730659
,0
,0.032051282
,0
,0
,0
,0
,0
,0.032738095
,0
,0
,0.101910828
,0
,0
,0
,0.008746356
,0
,0.21958457
,0
,0.03236246
,0
,0
,0
,0.063636364
,0
,0
,0.074193548
,0.002967359
,0
,0
,0
,0
,0
,0.058823529
,0.005988024
,0.077669903
,0
,0
,0
,0
,0.008695652
,0
,0.218562874
,0
,0.03514377
,0
,0
,0.172727273
,0
,0
,0.124203822
,0
,0
,0
,0.003067485
,0
,0
,0.204819277
,0
,0
,0.022292994
,0
,0
,0
,0
,0
,0
,0.162162162
,0.036809816
,0
,0.008982036
,0
,0.14159292
,0
,0
,0.050955414
,0
,0
,0
,0
,0
,0
,0.014880952
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.005571031
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.009463722
,0.009404389
,0
,0
,0
,0
,0
,0.01242236
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.003215434
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.005571031
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.003115265
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.006410256
,0
,0
,0
,0
,0
,0.003205128
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.016025641
,0
,0
,0
,0
,0.009433962
,0.068181818
,0.009146341
,0
,0.027586207
,0.012987013
,0.035031847
,0.050793651
,0
,0
,0.05483871
,0.012269939
,0
,0.027303754
,0.00974026
,0.01910828
,0.048701299
,0.006329114
,0
,0.006472492
,0.018461538
,0
,0.026845638
,0.025477707
,0.012539185
,0.012658228
,0
,0.009259259
,0
,0.029220779
,0
,0
,0
,0.009146341
,0
,0.037037037
,0
,0.01910828
,0.003257329
,0.003164557
,0
,0.006430868
,0
,0
,0
,0.035031847
,0.01875
,0.012658228
,0
,0.015337423
,0
,0.025477707
,0.01618123
,0.012658228
,0.003144654
,0.003058104
,0
,0.041401274
,0.022727273
,0.012658228
,0.022012579
,0.012307692
,0
,0.020134228
,0
,0.050955414
,0.048543689
,0.012658228
,0
,0.022653722
,0.018292683
,0
,0.025477707
,0.03525641
,0.006329114
,0.006289308
,0.029032258
,0.015243902
,0
,0.038216561
,0.021875
,0.012658228
,0
,0.003236246
,0
,0
,0.025477707
,0.012820513
,0.012539185
,0
,0.122580645
,0.018461538
,0
,0.038961039
,0.025477707
,0.040247678
,0.012658228
,0.012578616
,0.03525641
,0.018404908
,0
,0
,0.012987013
,0.060509554
,0.091205212
,0
,0
,0.116883117
,0.02484472
,0
,0.037162162
,0
,0.054140127
,0.051446945
,0.009493671
,0
,0
,0.009146341
,0
,0.036789298
,0
,0.035031847
,0.012903226
,0
,0
,0.003236246
,0
,0
,0.032467532
,0.025477707
,0.018927445
,0
,0
,0.009230769
,0
,0
,0.025477707
,0.009646302
,0
,0.003144654
,0.012944984
,0.01529052
,0
,0.026936027
,0.032467532
,0.025477707
,0.038585209
,0
,0
,0.015432099
,0
,0.003246753
,0.022292994
,0.019292605
,0
,0
,0.012539185
,0
,0.037931034
,0.012987013
,0.050955414
,0.038338658
,0
,0
,0.009615385
,0.00931677
,0
,0.020338983
,0.035714286
,0.025477707
,0.028481013
,0
,0.009493671
,0
,0.006472492
,0.00304878
,0
,0
,0.00974026
,0.015923567
,0.022875817
,0
,0.045016077
,0.009146341
,0
,0.023569024
,0.016233766
,0.02866242
,0.04516129
,0.012658228
,0
,0.006514658
,0.009345794
,0
,0.003401361
,0
,0.02866242
,0.012903226
,0
,0.01572327
,0
,0.003095975
,0
,0
,0
,0.031847134
,0.025641026
,0.018987342
,0
,0
,0.009345794
,0
,0.037037037
,0
,0.025477707
,0
,0
,0.003174603
,0.079178886
,0
,0
,0.009345794
,0
,0
,0
,0.084592145
,0.006309148
,0
,0.02173913
,0
,0
,0
,0.013029316
,0
,0.046783626
,0
,0
,0.00621118
,0
,0
,0
,0.012738854
,0
,0.093841642
,0
,0
,0
,0.021806854
,0
,0
,0
,0.13592233
,0
,0.076271186
,0
,0
,0.052959502
,0
,0
,0
,0
,0.075144509
,0
,0
,0.031152648
,0
,0
,0.003215434
,0.037542662
,0
,0.074183976
,0
,0
,0.015576324
,0
,0
,0
,0
,0
,0.055555556
,0
,0
,0.003115265
,0
,0
,0
,0
,0
,0.080357143
,0
,0
,0.043613707
,0
,0
,0
,0.081168831
,0
,0.01179941
,0
,0.009615385
,0
,0
,0.002923977
,0
,0.012987013
,0
,0
,0
,0.011730205
,0
,0.026315789
,0
,0
,0
,0.011695906
,0
,0
,0.012820513
,0
,0.005633803
,0
,0.020588235
,0
,0.086092715
,0
,0
,0.005714286
,0.005865103
,0
,0.055921053
,0.016025641
,0
,0.005633803
,0
,0.005813953
,0
,0
,0.016339869
,0
,0
,0
,0.005698006
,0.008797654
,0
,0
,0.016339869
,0
,0
,0
,0
,0.023323615
,0.004
,0.064724919
,0
,0
,0.005649718
,0
,0.026946108
,0.004149378
,0.011428571
,0
,0.003322259
,0
,0
,0.026865672
,0
,0
,0.006666667
,0
,0
,0
,0
,0
,0.010169492
,0
,0
,0.02295082
,0
,0
,0
,0
,0.03313253
,0.01320132
,0.008064516
,0
,0.009966777
,0
,0
,0.027108434
,0
,0.008571429
,0
,0
,0
,0
,0.002857143
,0
,0
,0
,0.035820896
,0
,0.011428571
,0
,0
,0.045454545
,0.03630363
,0.012396694
,0.008571429
,0
,0.04491018
,0.008032129
,0
,0
,0
,0.027108434
,0.040540541
,0
,0.00862069
,0
,0.026845638
,0
,0
,0
,0.027355623
,0
,0
,0
,0
,0
,0.026785714
,0.016611296
,0.004032258
,0
,0
,0
,0.028037383
,0
,0.011494253
,0.003367003
,0
,0
,0
,0.03003003
,0.046979866
,0
,0.011428571
,0
,0.01986755
,0
,0
,0.027439024
,0.003344482
,0
,0
,0.013559322
,0
,0.027950311
,0.02
,0
,0
,0
,0
,0
,0.036585366
,0.01980198
,0
,0
,0.006944444
,0.03030303
,0.053333333
,0.004016064
,0.002898551
,0.003472222
,0.027439024
,0.054054054
,0
,0.011594203
,0.01369863
,0
,0.027272727
,0
,0
,0
,0
,0
,0
,0.03264095
,0.068852459
,0.012345679
,0
,0
,0.013745704
,0
,0
,0.030674847
,0.006849315
,0
,0.002881844
,0.003378378
,0
,0.030959752
,0.047619048
,0
,0
,0
,0.016949153
,0
,0.027027027
,0.006578947
,0
,0
,0.003389831
,0.036144578
,0.03257329
,0.004048583
,0
,0.016891892
,0
,0.033950617
,0.003401361
,0
,0
,0
,0
,0
,0
,0
,0
,0.014388489
,0.00990099
,0.007220217
,0
,0
,0
,0
,0
,0
,0
,0
,0.007246377
,0
,0
,0
,0
,0
,0
,0
,0
,0.007246377
,0
,0
,0
,0
,0
,0.00591716
,0.007272727
,0
,0.007246377
,0
,0
,0
,0
,0.014492754
,0.00330033
,0.007246377
,0.033232628
,0.021472393
,0
,0.004405286
,0.003484321
,0.01179941
,0.018115942
,0
,0.014492754
,0.009063444
,0
,0
,0
,0.052083333
,0
,0.010752688
,0.006779661
,0.007194245
,0
,0.003067485
,0
,0
,0
,0
,0
,0
,0.007194245
,0
,0
,0
,0.006968641
,0
,0
,0
,0.007246377
,0.006042296
,0
,0
,0
,0
,0
,0.009063444
,0.032154341
,0
,0.004484305
,0
,0
,0
,0
,0
,0
,0.006097561
,0.03164557
,0
,0
,0
,0.003436426
,0.006033183
,0
,0
,0
,0.022508039
,0
,0.001116071
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0.004511278
,0
,0
,0
,0
,0.012698413
,0
,0
,0
,0.006042296
,0
,0
,0.006060606
,0
,0
,0
,0
,0
,0.012102874
,0
,0
,0
,0
,0.001131222
,0
,0
,0
,0.004518072
,0
,0
,0.012048193
,0.032154341
,0
,0.001118568
,0
,0
,0
,0.013595166
,0
,0.045731707
,0
,0.010022272
,0
,0
,0.025641026
,0
,0
,0.033333333
,0.067741935
,0.028938907
,0.008998875
,0
,0
,0.010542169
,0.004854369
,0
,0.071428571
,0.018518519
,0.008928571
,0
,0
,0.007507508
,0
,0
,0
,0.032467532
,0
,0
,0
,0
,0
,0.003021148
,0
,0
,0.009646302
,0
,0
,0
,0
,0
,0
,0
,0
,0.030864198
,0.025641026
,0.018018018
,0.012195122
,0
,0
,0.010479042
,0.005319149
,0
,0.036363636
,0.032258065
,0.044303797
,0.008998875
,0.011428571
,0
,0.010273973
,0.012048193
,0
,0
,0
,0
,0
,0.004555809
,0
,0
,0
,0.006033183
,0
,0
,0
,0.001129944
,0
,0
,0
,0.009049774
,0
,0
,0.027439024
,0.009677419
,0.009463722
,0.002265006
,0
,0
,0
,0.003007519
,0
,0.027439024
,0.003205128
,0.01901566
,0.005291005
,0
,0
,0.003007519
,0
,0
,0.009230769
,0
,0.001141553
,0
,0
,0.00149925
,0
,0
,0.003067485
,0
,0.003205128
,0.003496503
,0
,0
,0.006015038
,0
,0
,0.039156627
,0.009646302
,0
,0.006659267
,0
,0
,0
,0
,0
,0
,0.024096386
,0
,0
,0.005611672
,0
,0
,0
,0.010558069
,0
,0
,0.024242424
,0.109677419
,0.003154574
,0.008958567
,0
,0
,0
,0.004524887
,0
,0
,0.003058104
,0
,0
,0
,0
,0
,0.018045113
,0.009345794
,0
,0.045317221
,0.061093248
,0
,0.013245033
,0
,0
,0
,0
,0
,0
,0
,0.006493506
,0
,0
,0
,0
,0
,0.002444988
,0.036065574
,0
,0.018223235
,0.007692308
,0.034734918
,0
,0.012315271
,0
,0.009677419
,0.003484321
,0
,0.005555556
,0
,0.015228426
,0
,0
,0.012259194
,0.006696429
,0.115702479
,0
,0
